Paciente,Gen_0,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13
ATM_001_0000 segmentation,1,2,4,9,15,10,4,4,0,0,0,0,0,0
ATM_002_0000 segmentation,1,2,5,11,12,5,0,0,0,0,0,0,0,0
ATM_003_0000 segmentation,1,2,4,8,15,16,11,4,2,2,0,0,0,0
ATM_004_0000 segmentation,1,2,4,8,17,22,17,7,6,2,0,0,0,0
ATM_005_0000 segmentation,1,2,4,9,15,14,2,4,4,0,0,0,0,0
ATM_006_0000 segmentation,1,2,4,9,19,15,10,8,8,4,1,0,0,0
ATM_007_0000 segmentation,1,2,4,10,20,16,13,6,8,2,1,0,0,0
ATM_008_0000 segmentation,1,2,4,9,18,11,9,5,3,0,0,0,0,0
ATM_009_0000 segmentation,1,2,4,9,15,12,6,0,0,0,0,0,0,0
ATM_010_0000 segmentation,1,2,4,8,15,12,8,2,1,0,0,0,0,0
ATM_011_0000 segmentation,1,2,4,9,16,22,6,7,2,2,0,0,0,0
ATM_012_0000 segmentation,1,2,4,7,16,17,5,2,2,0,0,0,0,0
ATM_013_0000 segmentation,1,2,4,9,18,23,6,4,6,2,3,1,0,0
ATM_014_0000 segmentation,1,2,4,8,18,17,3,3,6,5,5,4,1,0
ATM_015_0000 segmentation,1,2,4,8,11,5,4,2,0,0,0,0,0,0
ATM_016_0000 segmentation,1,2,4,9,17,22,10,7,4,4,2,0,0,0
ATM_017_0000 segmentation,1,2,4,9,17,14,8,3,1,0,0,0,0,0
ATM_018_0000 segmentation,1,2,4,9,15,6,4,0,0,0,0,0,0,0
ATM_019_0000 segmentation,1,2,4,9,17,25,20,11,7,5,5,2,4,3
ATM_020_0000 segmentation,1,2,4,10,18,19,7,6,6,0,0,0,0,0
ATM_021_0000 segmentation,1,2,4,8,16,15,9,6,2,0,0,0,0,0
ATM_022_0000 segmentation,1,2,4,9,16,12,6,9,2,0,0,0,0,0
ATM_023_0000 segmentation,1,2,4,9,15,8,4,0,0,0,0,0,0,0
ATM_024_0000 segmentation,1,2,4,10,20,18,10,7,0,0,0,0,0,0
ATM_025_0000 segmentation,1,2,4,8,14,19,14,11,5,2,1,0,0,0
ATM_026_0000 segmentation,1,2,4,8,8,3,4,0,0,0,0,0,0,0
ATM_027_0000 segmentation,1,2,4,8,8,4,0,0,0,0,0,0,0,0
ATM_028_0000 segmentation,1,2,4,10,16,10,5,5,2,0,0,0,0,0
ATM_029_0000 segmentation,1,2,4,9,14,6,2,4,2,1,0,0,0,0
ATM_030_0000 segmentation,1,2,4,8,17,13,6,6,4,0,0,0,0,0
